pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Eritrean,general-AJ,0.747,3,7,0.305,52.23,21.02,Europe,Poland
French-Southeast,Assyrian-MiddleEast,1.096,5,11,0.263,37.27,44.21,Asia,Turkey
Jew-Iraqi,Norwegian,0.944,6,12,0.203,60.32,5.81,Europe,Norway
Sicilian-East,Ukranian-West,2.339,6,8,0.324,50.3,25.49,Europe,Ukraine
Brahmin,Jew-Azeri,0.978,3,11,0.249,40.88,48.02,Asia,Azerbaijan
Kyrgyz-South,Moldavian,1.492,6,11,0.315,46.51,29.66,Europe,Moldova
English-Southwest,Ossetian,2.089,5,18,0.248,43.07,44.23,Europe,Russia
Shaigi,Gujarati,0.258,3,17,0.112,23.2,72.7,Asia,India
Jew-Cochin,Jew-French,2.592,5,7,0.64,48.87,2.33,Europe,France
English-Southwest,Jew-Ethiopian,0.207,5,7,0.116,9.03,38.73,Africa,Ethiopia
Kryashen,Lithuanian,11.276,3,13,0.921,55,23.93,Europe,Lithuania
French-Southwest,Hungary-AJ,1.931,6,26,0.186,47.5,19.08,Europe,Hungary
Algerian,Georgian,0.664,4,26,0.115,41.96,42.06,Asia,Turkey
Shaigi,French-Southwest,1.135,3,6,0.42,43.5,-0.72,Europe,France
Jew-Cochin,Ossetian,0.91,5,18,0.177,43.07,44.23,Europe,Russia
Sicilian-East,Uzbek-East,0.933,6,21,0.154,41.18,69.22,Asia,Uzbekistan
Cossack,Spanish-Catalonia,3.758,4,57,0.212,41.68,1.66,Europe,Spain
Basque-Spain,Komi,3.814,6,18,0.334,61.87,51.43,Europe,Russia
Spanish-Northwest,Kumyk,1.671,5,11,0.248,43.18,46.76,Europe,Russia
Jew-Iberian,Syrian,1.324,3,8,0.419,35.13,36.87,Asia,Syria
Afar,Iranian-South,0.609,5,8,0.186,27.18,56.27,Asia,Iran
Afar,Tatar-Siberia,0.108,5,21,0.048,57.75,67.71,Asia,Russia
Mansi,Azeri,1.697,5,18,0.268,40.97,47.86,Europe,Russia
Mansi,Cypriot,1.228,5,7,0.313,35.13,33.43,Europe,Cyprus
Netherlands-AJ,Icelandic,5.596,4,12,0.651,64.13,-21.93,Europe,Iceland
Algerian,Lak,1.036,4,9,0.248,42.17,47.12,Europe,Russia
English-Southeast,Karachay,1.739,5,11,0.306,43.94,42.52,Europe,Russia
Basque-Spain,Cypriot,2.459,6,7,0.454,35.13,33.43,Europe,Cyprus
Libyan,Kumyk,0.839,5,11,0.211,43.18,46.76,Europe,Russia
Eritrean,Sardinian,0.714,3,20,0.192,40,9,Europe,Italy
Austria-AJ,Saudi,1.82,3,10,0.436,19.75,43.35,Asia,Saudi Arabia
Cossack,Karakalpak,2.854,4,10,0.439,42.48,59.61,Asia,Uzbekistan
Scot,Balkar,2.894,4,13,0.412,43.5,43.61,Europe,Russia
French-Southwest,Jew-Iranian,1.193,6,9,0.267,35.7,51.42,Asia,Iran
French-Southeast,Lebanese-Muslim,1.3,5,11,0.245,33.89,35.5,Asia,Lebanon
Eritrean,Jew-Yemenite,2.358,3,7,0.483,15.35,44.2,Asia,Yemen
Brahmin,Karachay,1.846,3,11,0.376,43.94,42.52,Europe,Russia
Jew-Iberian,Nogai,1.416,3,25,0.245,44.82,43.22,Europe,Russia
Sicilian-East,Russian-Southwest,2.193,6,8,0.374,51.34,36.86,Europe,Russia
Jew-Iraqi,Abkhasian,1.179,6,12,0.191,43.04,40.93,Asia,Abkhazia
Kyrgyz-South,Jew-Azeri,0.524,6,11,0.139,40.88,48.02,Asia,Azerbaijan
Jew-Cochin,Jew-Ethiopian,0.498,5,7,0.196,9.03,38.73,Africa,Ethiopia
English-Southwest,Turk-Northwest,2.433,5,18,0.28,40.4,28.56,Asia,Turkey
Shaigi,Pashtun,0.651,3,17,0.182,33.49,70.5,Asia,Pakistan
English-Southwest,Latvia-AJ,1.377,5,7,0.288,56.95,24.1,Europe,Latvia
French-Southwest,Georgian,0.881,6,26,0.12,41.96,42.06,Asia,Turkey
Algerian,Germany-AJ,1.39,4,26,0.179,52.52,13.4,Europe,Germany
Kryashen,Balkar,2.241,3,13,0.383,43.5,43.61,Europe,Russia
Jew-Cochin,Turk-Northwest,1.431,5,18,0.198,40.4,28.56,Asia,Turkey
Shaigi,Jew-Moroccan,2.458,3,6,0.613,34.02,-6.84,Africa,Morocco
Sicilian-East,Tatar-Siberia,0.968,6,21,0.148,57.75,67.71,Asia,Russia
Cossack,Poland-AJ,3.611,4,57,0.225,52.25,21,Europe,Poland
Basque-Spain,Azeri,1.323,6,18,0.173,40.97,47.86,Europe,Russia
Spanish-Northwest,Orcadian,3.977,5,11,0.502,59,-3,Europe,United Kingdom
Jew-Iberian,Jew-Libyan,5.594,3,8,0.945,32.92,13.18,Africa,Libya
Afar,Ukranian-West,0.085,5,8,0.085,50.3,25.49,Europe,Ukraine
Afar,Spanish-Central,0.269,5,21,0.088,40.36,-3.74,Europe,Spain
Mansi,Jew-Tunisian,1.427,5,7,0.292,36.8,10.18,Africa,Tunisia
Mansi,Armenian,0.923,5,18,0.181,40.2,44.39,Asia,Armenia
Algerian,Punjabi,0.155,4,9,0.108,29.89,74.48,Asia,Pakistan
Netherlands-AJ,Italian-North,3.255,4,12,0.462,46,10,Europe,Italy
Basque-Spain,Jew-Tunisian,1.631,6,7,0.327,36.8,10.18,Africa,Tunisia
English-Southeast,Jordanian,1.391,5,11,0.276,32.03,35.91,Asia,Jordan
Cossack,Turk-Central,1.284,4,10,0.273,38.73,35.48,Asia,Turkey
Libyan,Orcadian,0.815,5,11,0.214,59,-3,Europe,United Kingdom
Scot,Kabardian,2.896,4,13,0.391,43.45,43.37,Europe,Russia
Austria-AJ,Portuguese,1.739,3,10,0.363,39.4,-8.22,Europe,Portugal
French-Southwest,Lak,1.827,6,9,0.297,42.17,47.12,Europe,Russia
Eritrean,Baloch,0.567,3,20,0.15,30.5,66.5,Asia,Pakistan
Eritrean,Uzbek-West,0.484,3,8,0.199,41.55,60.63,Asia,Uzbekistan
French-Southeast,Hazara,0.567,5,11,0.16,33.5,70,Asia,Pakistan
Sicilian-East,Ukranian-East,2.653,6,8,0.407,50.74,34.39,Europe,Ukraine
Brahmin,Jordanian,0.68,3,11,0.229,32.03,35.91,Asia,Jordan
Jew-Cochin,Latvia-AJ,2.525,5,7,0.576,56.95,24.1,Europe,Latvia
Jew-Iberian,Kyrgyz-North,0.298,3,25,0.089,43.12,81.15,Asia,Kyrgyzstan
Jew-Iraqi,Icelandic,1.745,6,12,0.308,64.13,-21.93,Europe,Iceland
English-Southwest,Egyptian,0.899,5,18,0.17,30.69,31.28,Africa,Egypt
Shaigi,Chuvash,0.966,3,18,0.202,55.33,48.74,Europe,Russia
Kyrgyz-South,Karachay,1.43,6,11,0.244,43.94,42.52,Europe,Russia
English-Southwest,Jew-Georgian,2.176,5,7,0.428,41.72,44.78,Asia,Georgia
Algerian,Tatar-Volga,1.093,4,26,0.173,54.19,52.71,Europe,Russia
French-Southwest,Germany-AJ,2.418,6,26,0.206,52.52,13.4,Europe,Germany
Kryashen,Kabardian,3.016,3,13,0.455,43.45,43.37,Europe,Russia
Jew-Cochin,Egyptian,0.821,5,18,0.162,30.69,31.28,Africa,Egypt
Shaigi,Jew-French,1.051,3,7,0.352,48.87,2.33,Europe,France
Sicilian-East,Spanish-Central,2.456,6,21,0.299,40.36,-3.74,Europe,Spain
Basque-Spain,Armenian,1.968,6,18,0.259,40.2,44.39,Asia,Armenia
Afar,Russian-Southwest,0.0,5,8,0.0,51.34,36.86,Europe,Russia
Jew-Iberian,Spanish-South,3.496,3,8,0.765,37.7,-3.55,Europe,Spain
Spanish-Northwest,Uyghur-North,1.358,5,11,0.27,43.95,80.86,Asia,China
Cossack,Russian-Central,13.083,4,58,0.449,57.19,38.52,Europe,Russia
Afar,Hungarian,0.191,5,21,0.071,47.49,19.07,Europe,Hungary
Mansi,general-AJ,2.246,5,7,0.565,52.23,21.02,Europe,Poland
Kryashen,Jew-Iberian,2.224,3,3,0.968,40.39,-4.91,Europe,Spain
Algerian,Lebanese-Christian,0.515,4,9,0.212,33.89,35.5,Asia,Lebanon
Mansi,Pole,5.947,5,19,0.61,51.98,19.4,Europe,Poland
Basque-Spain,general-AJ,3.315,6,7,0.55,52.23,21.02,Europe,Poland
Netherlands-AJ,Circassian,1.542,4,12,0.357,44.28,41.55,Europe,Russia
English-Southeast,Finn,7.389,5,11,0.562,60.39,24.49,Europe,Finland
Cossack,Moroccan,1.272,4,10,0.297,33.53,-7.58,Africa,Morocco
Scot,Belarusian,6.167,4,14,0.579,53.64,27.47,Europe,Belarus
Libyan,Uyghur-North,0.359,5,11,0.121,43.95,80.86,Asia,China
French-Southwest,Punjabi,0.625,6,9,0.175,29.89,74.48,Asia,Pakistan
Austria-AJ,Spanish-North,1.814,3,10,0.459,43.05,-3.35,Europe,Spain
Eritrean,Hemshin,0.553,3,8,0.282,41,39.7,Europe,Russia
Eritrean,Swede,0.391,3,20,0.125,59.31,18,Europe,Sweden
Sicilian-East,Turkmen,1.014,6,8,0.233,42.49,59.41,Asia,Uzbekistan
French-Southeast,Kumyk,2.205,5,11,0.338,43.18,46.76,Europe,Russia
Brahmin,Finn,2.191,3,11,0.367,60.39,24.49,Europe,Finland
Jew-Cochin,Jew-Georgian,0.694,5,7,0.277,41.72,44.78,Asia,Georgia
Jew-Iberian,Yemenite-Northwest,1.279,3,26,0.203,15.74,44.45,Asia,Yemen
English-Southwest,Assyrian-Caucasus,1.591,5,7,0.313,40.21,44.34,Asia,Armenia
English-Southwest,Komi,4.34,5,18,0.363,61.87,51.43,Europe,Russia
Shaigi,Ossetian,0.872,3,18,0.183,43.07,44.23,Europe,Russia
Jew-Iraqi,Italian-North,1.445,6,12,0.231,46,10,Europe,Italy
Kyrgyz-South,Jordanian,0.453,6,11,0.149,32.03,35.91,Asia,Jordan
French-Southwest,Tatar-Volga,2.723,6,26,0.2,54.19,52.71,Europe,Russia
Algerian,Yemenite-Desert,1.379,4,27,0.211,16.48,50.03,Asia,Yemen
Kryashen,Belarusian,9.636,3,14,0.791,53.64,27.47,Europe,Belarus
Shaigi,Jew-Ethiopian,0.0,3,7,0.0,9.03,38.73,Africa,Ethiopia
Jew-Cochin,Komi,1.401,5,18,0.201,61.87,51.43,Europe,Russia
Sicilian-East,Hungarian,2.752,6,21,0.246,47.49,19.07,Europe,Hungary
Spanish-Northwest,Spanish-Valencia,3.607,5,11,0.454,39.02,-0.37,Europe,Spain
Jew-Iberian,Darginian,0.789,3,8,0.294,42.18,47.22,Europe,Russia
Afar,Ukranian-East,0.378,5,8,0.161,50.74,34.39,Europe,Ukraine
Basque-Spain,Pole,4.913,6,19,0.316,51.98,19.4,Europe,Poland
Afar,Mozabite,0.212,5,21,0.073,32,3,Africa,Algeria
Mansi,Jew-Yemenite,0.29,5,7,0.163,15.35,44.2,Asia,Yemen
Kryashen,Brahmin,3.426,3,3,0.984,26.4,83.33,Asia,India
Algerian,Bulgarian,0.624,4,9,0.207,42.16,24.74,Europe,Bulgaria
Mansi,Sardinian,1.335,5,20,0.194,40,9,Europe,Italy
Netherlands-AJ,Iranian-North,1.25,4,12,0.276,36.29,52.43,Asia,Iran
Basque-Spain,Jew-Yemenite,1.191,6,7,0.242,15.35,44.2,Asia,Yemen
Cossack,Romanian,7.177,4,10,0.847,45.78,22.95,Europe,Romania
Scot,Basque-France,5.496,4,14,0.554,43,0,Europe,France
French-Southwest,Lebanese-Christian,0.842,6,9,0.217,33.89,35.5,Asia,Lebanon
English-Southeast,Jew-Italian,3.524,5,11,0.477,41.9,12.48,Europe,Italy
Libyan,Spanish-Valencia,1.247,5,11,0.245,39.02,-0.37,Europe,Spain
Eritrean,Iranian-South,0.52,3,8,0.245,27.18,56.27,Asia,Iran
Sicilian-East,Turk-West,1.391,6,8,0.281,37.92,27.75,Asia,Turkey
Austria-AJ,French-Northeast,2.402,3,10,0.369,48.76,6.13,Europe,France
Eritrean,Brahui,0.829,3,21,0.207,30.5,66.5,Asia,Pakistan
Brahmin,Jew-Italian,1.084,3,11,0.302,41.9,12.48,Europe,Italy
French-Southeast,Orcadian,4.982,5,11,0.541,59,-3,Europe,United Kingdom
Jew-Cochin,Assyrian-Caucasus,1.112,5,7,0.296,40.21,44.34,Asia,Armenia
English-Southwest,Cypriot,1.719,5,7,0.36,35.13,33.43,Europe,Cyprus
English-Southwest,Azeri,1.815,5,18,0.273,40.97,47.86,Europe,Russia
Jew-Iberian,Jew-Bulgarian,7.413,3,26,0.645,42.68,23.32,Europe,Bulgaria
Shaigi,Turk-Northwest,1.056,3,18,0.252,40.4,28.56,Asia,Turkey
French-Southwest,Yemenite-Desert,0.507,6,27,0.09,16.48,50.03,Asia,Yemen
Jew-Iraqi,Circassian,1.296,6,12,0.222,44.28,41.55,Europe,Russia
Kyrgyz-South,Finn,1.935,6,11,0.351,60.39,24.49,Europe,Finland
Algerian,Lithuania-AJ,1.212,4,27,0.166,54.68,25.32,Europe,Lithuania
Kryashen,Basque-France,3.205,3,14,0.47,43,0,Europe,France
Shaigi,Latvia-AJ,1.445,3,7,0.568,56.95,24.1,Europe,Latvia
Jew-Cochin,Azeri,1.075,5,18,0.194,40.97,47.86,Europe,Russia
Sicilian-East,Mozabite,1.433,6,21,0.168,32,3,Africa,Algeria
Spanish-Northwest,Moldavian,1.912,5,11,0.3,46.51,29.66,Europe,Moldova
Afar,Turkmen,0.084,5,8,0.084,42.49,59.41,Asia,Uzbekistan
Jew-Iberian,Jew-Kurdish,1.027,3,8,0.395,36.34,43.15,Asia,Iraq
Mansi,Uzbek-West,4.147,5,8,0.574,41.55,60.63,Asia,Uzbekistan
Algerian,Albanian,1.096,4,9,0.268,41.32,19.82,Europe,Albania
Afar,Iranian-Central,0.357,5,22,0.127,31.43,51.07,Asia,Iran
Basque-Spain,Sardinian,3.171,6,20,0.285,40,9,Europe,Italy
Kryashen,Shaigi,1.098,3,3,0.581,15.6,32.5,Africa,Sudan
Scot,Algerian,1.218,4,4,0.436,36.75,3.04,Africa,Algeria
Netherlands-AJ,BedouinB,1.193,4,12,0.262,31,35,Asia,Israel
Mansi,Baloch,1.263,5,20,0.22,30.5,66.5,Asia,Pakistan
Cossack,Saudi,1.446,4,10,0.356,19.75,43.35,Asia,Saudi Arabia
Basque-Spain,Uzbek-West,0.917,6,8,0.251,41.55,60.63,Asia,Uzbekistan
Scot,Croat,4.665,4,14,0.456,43.63,16.84,Europe,Croatia
French-Southwest,Bulgarian,2.094,6,9,0.371,42.16,24.74,Europe,Bulgaria
English-Southeast,Italian-Northwest,4.34,5,11,0.423,45.05,7.52,Europe,Italy
Libyan,Moldavian,1.4,5,11,0.254,46.51,29.66,Europe,Moldova
Eritrean,Ukranian-West,0.223,3,8,0.158,50.3,25.49,Europe,Ukraine
Sicilian-East,Maltese,2.814,6,8,0.545,35.94,14.38,Europe,Malta
Jew-Cochin,Cypriot,1.012,5,7,0.265,35.13,33.43,Europe,Cyprus
Brahmin,Italian-Northwest,1.499,3,11,0.278,45.05,7.52,Europe,Italy
English-Southwest,Jew-Tunisian,1.333,5,7,0.261,36.8,10.18,Africa,Tunisia
Eritrean,Uzbek-East,0.308,3,21,0.113,41.18,69.22,Asia,Uzbekistan
Austria-AJ,French-Northwest,2.556,3,10,0.501,48.25,-3.24,Europe,France
Jew-Iberian,Hungary-AJ,5.469,3,26,0.467,47.5,19.08,Europe,Hungary
English-Southwest,Armenian,1.89,5,18,0.291,40.2,44.39,Asia,Armenia
French-Southeast,Uyghur-North,0.819,5,11,0.223,43.95,80.86,Asia,China
Shaigi,Egyptian,1.667,3,18,0.308,30.69,31.28,Africa,Egypt
Jew-Iraqi,Iranian-North,1.247,6,12,0.204,36.29,52.43,Asia,Iran
French-Southwest,Lithuania-AJ,2.909,6,27,0.225,54.68,25.32,Europe,Lithuania
Algerian,Roman-Iberia,1.129,4,28,0.169,40.67,-3.14,Europe,Spain
Kyrgyz-South,Jew-Italian,0.863,6,11,0.182,41.9,12.48,Europe,Italy
Kryashen,Croat,5.708,3,14,0.622,43.63,16.84,Europe,Croatia
Shaigi,Jew-Georgian,0.717,3,7,0.268,41.72,44.78,Asia,Georgia
Jew-Cochin,Armenian,1.256,5,18,0.172,40.2,44.39,Asia,Armenia
Spanish-Northwest,Jew-Azeri,0.669,5,11,0.188,40.88,48.02,Asia,Azerbaijan
Afar,Turk-West,0.224,5,8,0.128,37.92,27.75,Asia,Turkey
Sicilian-East,Iranian-Central,1.156,6,22,0.157,31.43,51.07,Asia,Iran
Jew-Iberian,Jew-Iranian,2.275,3,9,0.485,35.7,51.42,Asia,Iran
Algerian,Turk-Northeast,0.201,4,9,0.114,41,39.73,Asia,Turkey
Mansi,Hemshin,0.848,5,8,0.331,41,39.7,Europe,Russia
Afar,Romania-AJ,0.54,5,23,0.106,44.43,26.1,Europe,Romania
Kryashen,Cossack,8.735,3,4,1.427,46.4,37.03,Europe,Ukraine
Scot,Netherlands-AJ,5.34,4,4,1.252,52.35,4.92,Europe,Netherlands
Basque-Spain,Baloch,1.87,6,20,0.237,30.5,66.5,Asia,Pakistan
Netherlands-AJ,Jew-Uzbek,1.445,4,12,0.247,41.31,69.29,Asia,Uzbekistan
Mansi,Swede,4.409,5,20,0.37,59.31,18,Europe,Sweden
Cossack,Portuguese,2.973,4,10,0.341,39.4,-8.22,Europe,Portugal
Scot,Sicilian-West,3.06,4,14,0.391,38.02,12.52,Europe,Italy
Basque-Spain,Hemshin,2.448,6,8,0.455,41,39.7,Europe,Russia
French-Southwest,Albanian,1.657,6,9,0.273,41.32,19.82,Europe,Albania
Libyan,Jew-Azeri,1.202,5,11,0.253,40.88,48.02,Asia,Azerbaijan
English-Southeast,Ukranian-Central,5.391,5,12,0.481,50.47,30.3,Europe,Ukraine
Eritrean,Russian-Southwest,0.135,3,8,0.135,51.34,36.86,Europe,Russia
English-Southwest,general-AJ,2.414,5,7,0.448,52.23,21.02,Europe,Poland
Sicilian-East,Tunisian,1.207,6,8,0.273,36.82,10.17,Africa,Tunisia
Jew-Cochin,Jew-Tunisian,1.826,5,7,0.374,36.8,10.18,Africa,Tunisia
Jew-Iberian,Georgian,1.013,3,26,0.205,41.96,42.06,Asia,Turkey
Brahmin,Ukranian-Central,2.311,3,12,0.455,50.47,30.3,Europe,Ukraine
Eritrean,Tatar-Siberia,0.261,3,21,0.115,57.75,67.71,Asia,Russia
Austria-AJ,Czech,3.181,3,10,0.604,50.1,14.4,Europe,Czechoslovakia
English-Southwest,Pole,5.667,5,19,0.394,51.98,19.4,Europe,Poland
French-Southeast,Spanish-Valencia,3.91,5,11,0.461,39.02,-0.37,Europe,Spain
French-Southwest,Roman-Iberia,3.976,6,28,0.299,40.67,-3.14,Europe,Spain
Shaigi,Komi,1.369,3,18,0.253,61.87,51.43,Europe,Russia
Algerian,Yemenite-Highlands,1.187,4,29,0.171,14.34,44.68,Asia,Yemen
Jew-Iraqi,BedouinB,1.342,6,12,0.197,31,35,Asia,Israel
Kyrgyz-South,Italian-Northwest,0.846,6,11,0.178,45.05,7.52,Europe,Italy
Shaigi,Assyrian-Caucasus,0.596,3,7,0.282,40.21,44.34,Asia,Armenia
Kryashen,Sicilian-West,2.305,3,14,0.428,38.02,12.52,Europe,Italy
Jew-Cochin,Pole,1.301,5,19,0.19,51.98,19.4,Europe,Poland
Spanish-Northwest,Karachay,0.869,5,11,0.221,43.94,42.52,Europe,Russia
Afar,Maltese,0.236,5,8,0.171,35.94,14.38,Europe,Malta
Jew-Iberian,Lak,1.666,3,9,0.391,42.17,47.12,Europe,Russia
Algerian,Russian-Northwest,0.681,4,9,0.227,57.59,28.73,Europe,Russia
Mansi,Iranian-South,1.418,5,8,0.284,27.18,56.27,Asia,Iran
Kryashen,Scot,4.631,3,4,0.818,56.04,-3.94,Europe,United Kingdom
Sicilian-East,Romania-AJ,2.319,6,23,0.218,44.43,26.1,Europe,Romania
Scot,Afar,0.617,4,5,0.286,11.8,41.4,Africa,Ethiopia
Afar,BedouinA,0.849,5,23,0.17,31,35,Asia,Israel
Netherlands-AJ,Greek-North,3.201,4,13,0.429,40.64,22.94,Europe,Greece
Basque-Spain,Swede,5.344,6,20,0.32,59.31,18,Europe,Sweden
Cossack,Spanish-North,4.083,4,10,0.449,43.05,-3.35,Europe,Spain
Mansi,Brahui,1.017,5,21,0.155,30.5,66.5,Asia,Pakistan
Scot,Udmurt,4.188,4,14,0.425,56.43,52.66,Europe,Russia
Basque-Spain,Iranian-South,1.448,6,8,0.312,27.18,56.27,Asia,Iran
English-Southwest,Jew-Yemenite,0.578,5,7,0.223,15.35,44.2,Asia,Yemen
French-Southwest,Turk-Northeast,1.189,6,9,0.245,41,39.73,Asia,Turkey
Libyan,Karachay,0.721,5,11,0.171,43.94,42.52,Europe,Russia
Eritrean,Ukranian-East,0.512,3,8,0.289,50.74,34.39,Europe,Ukraine
Sicilian-East,Jew-Turkish,2.168,6,8,0.348,41.02,28.95,Europe,Turkey
Jew-Cochin,general-AJ,2.068,5,7,0.481,52.23,21.02,Europe,Poland
English-Southeast,Tabasaran,2.722,5,12,0.351,42.05,47.81,Europe,Russia
Jew-Iberian,Germany-AJ,6.589,3,26,0.604,52.52,13.4,Europe,Germany
Austria-AJ,Assyrian-MiddleEast,1.245,3,11,0.285,37.27,44.21,Asia,Turkey
Brahmin,Tabasaran,1.674,3,12,0.394,42.05,47.81,Europe,Russia
Eritrean,Spanish-Central,0.308,3,21,0.122,40.36,-3.74,Europe,Spain
French-Southeast,Moldavian,2.862,5,11,0.354,46.51,29.66,Europe,Moldova
English-Southwest,Sardinian,3.042,5,20,0.276,40,9,Europe,Italy
Shaigi,Azeri,0.722,3,18,0.185,40.97,47.86,Europe,Russia
French-Southwest,Yemenite-Highlands,0.523,6,29,0.096,14.34,44.68,Asia,Yemen
Algerian,Spanish-Balearic,1.755,4,29,0.202,39.33,2.37,Europe,Spain
Shaigi,Cypriot,0.893,3,7,0.29,35.13,33.43,Europe,Cyprus
Kryashen,Udmurt,15.773,3,14,1.455,56.43,52.66,Europe,Russia
Jew-Iraqi,Jew-Uzbek,3.491,6,12,0.459,41.31,69.29,Asia,Uzbekistan
Kyrgyz-South,Ukranian-Central,1.695,6,12,0.251,50.47,30.3,Europe,Ukraine
Jew-Cochin,Sardinian,1.063,5,20,0.181,40,9,Europe,Italy
Afar,Tunisian,0.507,5,8,0.224,36.82,10.17,Africa,Tunisia
Spanish-Northwest,Jordanian,1.252,5,11,0.233,32.03,35.91,Asia,Jordan
Algerian,Latvian,1.198,4,9,0.351,56.91,24.1,Europe,Latvia
Jew-Iberian,Punjabi,0.473,3,9,0.2,29.89,74.48,Asia,Pakistan
Mansi,Ukranian-West,6.796,5,8,0.987,50.3,25.49,Europe,Ukraine
Kryashen,Algerian,1.114,3,4,0.339,36.75,3.04,Africa,Algeria
Netherlands-AJ,German,4.267,4,13,0.566,51.48,10.37,Europe,Germany
Scot,English-Southeast,10.505,4,5,1.355,51.19,0.73,Europe,United Kingdom
Sicilian-East,BedouinA,1.201,6,23,0.158,31,35,Asia,Israel
Cossack,French-Northeast,4.103,4,10,0.579,48.76,6.13,Europe,France
Afar,Nogai,0.179,5,25,0.063,44.82,43.22,Europe,Russia
Basque-Spain,Brahui,1.528,6,21,0.199,30.5,66.5,Asia,Pakistan
Scot,Belarus-AJ,3.437,4,14,0.366,53.9,27.57,Europe,Belarus
Mansi,Uzbek-East,3.106,5,21,0.27,41.18,69.22,Asia,Uzbekistan
Basque-Spain,Ukranian-West,4.348,6,8,0.576,50.3,25.49,Europe,Ukraine
English-Southwest,Uzbek-West,1.434,5,8,0.279,41.55,60.63,Asia,Uzbekistan
French-Southwest,Russian-Northwest,3.111,6,9,0.466,57.59,28.73,Europe,Russia
Libyan,Jordanian,2.721,5,11,0.392,32.03,35.91,Asia,Jordan
Eritrean,Turkmen,0.357,3,8,0.199,42.49,59.41,Asia,Uzbekistan
Jew-Cochin,Jew-Yemenite,1.767,5,7,0.491,15.35,44.2,Asia,Yemen
Sicilian-East,Syrian,1.217,6,8,0.239,35.13,36.87,Asia,Syria
Jew-Iberian,Tatar-Volga,1.476,3,26,0.207,54.19,52.71,Europe,Russia
English-Southeast,Veps,6.019,5,12,0.553,61.3,35.01,Europe,Russia
Austria-AJ,Lebanese-Muslim,1.948,3,11,0.391,33.89,35.5,Asia,Lebanon
Brahmin,Veps,1.748,3,12,0.339,61.3,35.01,Europe,Russia
Eritrean,Hungarian,0.479,3,21,0.134,47.49,19.07,Europe,Hungary
Shaigi,Armenian,0.953,3,18,0.248,40.2,44.39,Asia,Armenia
French-Southeast,Jew-Azeri,2.021,5,11,0.334,40.88,48.02,Asia,Azerbaijan
English-Southwest,Baloch,1.703,5,20,0.226,30.5,66.5,Asia,Pakistan
French-Southwest,Spanish-Balearic,6.237,6,29,0.339,39.33,2.37,Europe,Spain
Algerian,Druze,0.988,4,30,0.146,32.05,35.02,Asia,Israel
Shaigi,Jew-Tunisian,1.762,3,7,0.508,36.8,10.18,Africa,Tunisia
Kryashen,Belarus-AJ,2.851,3,14,0.46,53.9,27.57,Europe,Belarus
Jew-Iraqi,Greek-North,1.595,6,13,0.235,40.64,22.94,Europe,Greece
Kyrgyz-South,Tabasaran,1.397,6,12,0.201,42.05,47.81,Europe,Russia
Jew-Cochin,Baloch,2.502,5,20,0.256,30.5,66.5,Asia,Pakistan
Afar,Jew-Turkish,0.45,5,8,0.159,41.02,28.95,Europe,Turkey
Spanish-Northwest,Finn,2.818,5,11,0.343,60.39,24.49,Europe,Finland
Algerian,Gagauz,0.835,4,9,0.208,45.54,28.38,Europe,Moldova
Jew-Iberian,Lebanese-Christian,1.318,3,9,0.406,33.89,35.5,Asia,Lebanon
Netherlands-AJ,Somali,0.132,4,13,0.093,5.6,48.3,Africa,Kenya
Kryashen,Netherlands-AJ,4.088,3,4,0.88,52.35,4.92,Europe,Netherlands
Scot,Mansi,4.136,4,5,0.757,61.24,66.48,Asia,Russia
Mansi,Russian-Southwest,7.381,5,8,0.863,51.34,36.86,Europe,Russia
Sicilian-East,Nogai,1.474,6,25,0.163,44.82,43.22,Europe,Russia
Cossack,French-Northwest,4.197,4,10,0.557,48.25,-3.24,Europe,France
Afar,Kyrgyz-North,0.147,5,25,0.051,43.12,81.15,Asia,Kyrgyzstan
Basque-Spain,Uzbek-East,1.306,6,21,0.169,41.18,69.22,Asia,Uzbekistan
English-Southwest,Hemshin,2.281,5,8,0.427,41,39.7,Europe,Russia
Scot,Sindhi,1.565,4,14,0.266,25.49,69,Asia,Pakistan
French-Southwest,Latvian,3.549,6,9,0.419,56.91,24.1,Europe,Latvia
Basque-Spain,Russian-Southwest,3.395,6,8,0.448,51.34,36.86,Europe,Russia
Libyan,Finn,1.168,5,11,0.211,60.39,24.49,Europe,Finland
Jew-Iberian,Yemenite-Desert,0.53,3,27,0.121,16.48,50.03,Asia,Yemen
Eritrean,Turk-West,0.256,3,8,0.179,37.92,27.75,Asia,Turkey
Jew-Cochin,Uzbek-West,0.893,5,8,0.269,41.55,60.63,Asia,Uzbekistan
Mansi,Tatar-Siberia,27.968,5,21,2.07,57.75,67.71,Asia,Russia
Sicilian-East,Jew-Libyan,2.593,6,8,0.439,32.92,13.18,Africa,Libya
English-Southwest,Swede,8.035,5,20,0.424,59.31,18,Europe,Sweden
English-Southeast,Norwegian,8.366,5,12,0.628,60.32,5.81,Europe,Norway
Brahmin,Norwegian,1.674,3,12,0.353,60.32,5.81,Europe,Norway
Shaigi,Pole,0.957,3,19,0.187,51.98,19.4,Europe,Poland
French-Southwest,Druze,0.84,6,30,0.114,32.05,35.02,Asia,Israel
