pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Spanish-Northwest,Lak,1.399,5,9,0.308,42.17,47.12,Europe,Russia
French-Southeast,Jew-Kurdish,1.028,5,8,0.28,36.34,43.15,Asia,Iraq
Mansi,Lezgin,1.589,5,13,0.215,42.05,48.1,Europe,Russia
Cossack,Ukranian-West,12.002,4,8,0.92,50.3,25.49,Europe,Ukraine
Libyan,Germany-AJ,1.811,5,26,0.181,52.52,13.4,Europe,Germany
Cossack,Uzbek-East,2.67,4,21,0.332,41.18,69.22,Asia,Uzbekistan
Eritrean,Lithuanian,0.503,3,13,0.177,55,23.93,Europe,Lithuania
English-Southeast,Russian-Northwest,5.171,5,9,0.606,57.59,28.73,Europe,Russia
English-Southeast,Spanish-Balearic,4.863,5,29,0.312,39.33,2.37,Europe,Spain
Brahmin,Spanish-Balearic,1.529,3,29,0.215,39.33,2.37,Europe,Spain
Afar,Croat,0.203,5,14,0.089,43.63,16.84,Europe,Croatia
Basque-Spain,Lezgin,2.445,6,13,0.277,42.05,48.1,Europe,Russia
Algerian,Russian-Arctic,1.409,4,17,0.269,63.43,45.1,Europe,Russia
French-Southeast,Hungary-AJ,3.724,5,26,0.341,47.5,19.08,Europe,Hungary
Netherlands-AJ,Karakalpak,1.456,4,10,0.339,42.48,59.61,Asia,Uzbekistan
Jew-Iberian,French-Southeast,2.194,3,5,0.626,44.01,6.21,Europe,France
Jew-Iberian,Slovenian,2.533,3,15,0.453,46.15,15,Europe,Slovenia
Libyan,Lak,0.634,5,9,0.218,42.17,47.12,Europe,Russia
Brahmin,Russian-Northwest,1.475,3,9,0.347,57.59,28.73,Europe,Russia
Kyrgyz-South,Spanish-Balearic,0.879,6,29,0.117,39.33,2.37,Europe,Spain
Austria-AJ,Maltese,2.058,3,8,0.505,35.94,14.38,Europe,Malta
Eritrean,Jew-Iberian,1.073,3,3,0.833,40.39,-4.91,Europe,Spain
Sicilian-East,Croat,2.487,6,14,0.288,43.63,16.84,Europe,Croatia
Algerian,Sicilian-East,1.681,4,6,0.258,37.14,15.24,Europe,Italy
Scot,Orcadian,10.332,4,11,0.807,59,-3,Europe,United Kingdom
English-Southwest,Greek-North,3.062,5,13,0.397,40.64,22.94,Europe,Greece
Jew-Cochin,Greek-North,1.56,5,13,0.267,40.64,22.94,Europe,Greece
French-Southwest,Russian-Arctic,3.699,6,17,0.312,63.43,45.1,Europe,Russia
Jew-Iraqi,Karakalpak,0.67,6,10,0.166,42.48,59.61,Asia,Uzbekistan
Kyrgyz-South,Russian-Northwest,1.441,6,9,0.269,57.59,28.73,Europe,Russia
Shaigi,Iranian-North,1.19,3,12,0.298,36.29,52.43,Asia,Iran
Kryashen,Orcadian,5.463,3,11,0.645,59,-3,Europe,United Kingdom
Austria-AJ,Iranian-Central,1.407,3,22,0.246,31.43,51.07,Asia,Iran
Jew-Iraqi,Poland-AJ,2.099,6,57,0.145,52.25,21,Europe,Poland
Netherlands-AJ,Poland-AJ,83.724,4,57,2.36,52.25,21,Europe,Poland
Spanish-Northwest,Tatar-Volga,2.43,5,26,0.219,54.19,52.71,Europe,Russia
French-Southeast,Jew-Iranian,1.396,5,9,0.379,35.7,51.42,Asia,Iran
Spanish-Northwest,Punjabi,0.516,5,9,0.198,29.89,74.48,Asia,Pakistan
Mansi,Kazakh-East,3.799,5,13,0.388,44,87.46,Asia,Kazakhstan
Eritrean,Balkar,0.448,3,13,0.175,43.5,43.61,Europe,Russia
Cossack,Russian-Southwest,14.688,4,8,1.35,51.34,36.86,Europe,Russia
